Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,10,36,6, [0 2 0 3 1 2]
5,4,1,10,23,1, [3 0 3 1 2]
5,4,2,10,97,5, [3 1 2 0 3 2 1 0]
5,4,3,10,31,1, [0 3 2 0 1]
5,4,4,10,31,1, [1 2 0 2 3 1]
5,5,0,10,43,1, [1 3 2 0 4]
5,5,1,10,106,3, [4 3 2 1 2 4 0 3]
5,5,2,10,65,1, [4 3 1 4 0 3 2]
5,5,3,10,79,1, [2 0 3 1 2 0 4]
5,5,4,10,48,1, [0 2 3 1 4 3 0]
5,6,0,10,777,14, [1 3 1 5 3 0 2 4 1]
5,6,1,10,212,4, [5 3 2 5 4 0 1 3]
5,6,2,10,695,12, [2 1 2 4 0 4 2 5 1 3]
5,6,3,10,336,4, [3 2 4 0 3 1 5 2]
5,6,4,10,630,8, [5 0 2 3 5 1 0 2 4]
5,7,0,10,2312,43, [0 2 0 6 2 5 0 1 3 4]
5,7,1,10,339,3, [2 5 4 2 6 0 1 3]
5,7,2,10,522,9, [2 6 5 1 0 3 2 6 4 5]
5,7,3,10,686,10, [6 0 1 6 4 5 2 0 3]
5,7,4,10,486,6, [4 3 5 1 3 0 4 2 6]
5,8,0,10,2913,47, [6 3 2 4 3 7 2 5 6 1 0]
5,8,1,10,3191,61, [6 4 5 7 6 3 4 7 2 0 1]
5,8,2,10,4275,66, [3 7 6 7 1 5 2 3 0 4]
5,8,3,10,1651,26, [2 3 7 1 4 3 5 2 0 6]
5,8,4,10,6900,94, [6 0 6 3 0 7 5 6 2 3 4 1]
10,4,0,10,253,15, [3 1 0 3 0 2 3 0 2 3 1]
10,4,1,10,852,42, [2 0 3 0 1 3 1 2 0 3 1]
10,4,2,10,239,9, [1 0 2 3 2 3 1 2 3 1 0]
10,4,3,10,197,11, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,10,93,6, [2 1 2 3 1 3 0 2 3 1]
10,5,0,10,18131,1110, [3 0 4 3 2 4 2 1 0 3 2 1 3 0 4]
10,5,1,10,11906,1135, [1 2 3 4 2 0 3 1 3 0 4 2 1 0 3]
10,5,2,10,1104,96, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,10,2932,185, [3 4 3 2 4 2 4 0 2 3 0 2 4 1]
10,5,4,10,6213,418, [1 4 1 0 2 4 3 1 2 4 1 0 3]
10,6,0,10,27945,2995, [1 4 0 4 1 5 2 1 4 2 3 1 2 4 5 0]
10,6,1,10,254230,25503, [4 5 4 1 0 2 5 3 0 2 4 3 1 2 4 0 5]
10,6,2,10,263961,24433, [5 4 1 2 0 2 5 4 3 0 2 0 1 5 3 4]
10,6,3,10,136940,14727, [2 3 0 5 1 2 3 1 0 3 2 1 5 0 3 4]
10,6,4,10,19163,2136, [5 2 0 3 5 0 1 2 0 3 5 4 2 1]
10,7,0,10,62833,7531, [0 2 6 1 5 4 0 6 2 5 1 4 6 0 3]
10,7,1,10,711440,93750, [1 4 0 5 6 0 4 1 4 5 2 1 3 0 5 6]
10,7,2,10,217688,26378, [0 3 2 4 0 1 0 3 6 0 1 5 6 0 2 4 3]
10,7,3,10,107346,13955, [0 4 2 5 3 4 1 5 2 0 6 5 3 1 4 2]
10,7,4,10,138247,16858, [6 5 2 5 3 0 1 5 4 6 0 5 3 2 1 4]
10,8,0,10,1050805,185250, [7 3 1 0 4 0 5 4 6 7 3 6 1 5 7 4 0 2]
10,8,1,10, DNF, --, --
10,8,2,10,1801649,265824, [5 4 1 7 2 7 6 3 6 5 7 6 0 2 3 1 5 4]
10,8,3,10, DNF, --, --
10,8,4,10,1474562,254964, [6 5 4 1 3 2 7 6 5 2 7 3 6 0 4 1 2]
15,4,0,10,7576,1581, [3 1 2 3 0 3 2 3 2 1 0 3 1 0 2 3 1]
15,4,1,10,2075,315, [2 3 1 0 2 3 2 1 0 3 0 2 3 1]
15,4,2,10,4843,831, [1 3 2 1 3 0 3 0 2 1 3 2 1 0 3 2]
15,4,3,10,1463,259, [3 2 3 1 2 1 0 2 3 1 0 2 3 0 1]
15,4,4,10,24992,4653, [1 2 0 1 0 2 0 2 3 1 0 3 0 2 3 0 2 1]
15,5,0,10,107526,29015, [3 1 2 4 1 2 0 4 1 0 4 2 4 1 3 2 1 0 4]
15,5,1,10,20248,4877, [1 4 3 0 2 4 1 3 0 2 3 1 0 2 4]
15,5,2,10,174207,48371, [4 0 2 4 2 0 4 2 3 0 1 0 3 2 4 1 0 3]
15,5,3,10,82567,19196, [0 4 0 3 2 1 0 4 2 3 4 0 1 4 1 2 0 3]
15,5,4,10,426104,77758, [3 4 1 0 2 0 4 2 3 4 0 3 4 1 4 2 0 3 1 2]
15,6,0,10, DNF, --, --
15,6,1,10, DNF, --, --
15,6,2,10, DNF, --, --
15,6,3,10, DNF, --, --
15,6,4,10, DNF, --, --
15,7,0,10, DNF, --, --
15,7,1,10, DNF, --, --
15,7,2,10, DNF, --, --
,,,,,,
,,,,,,
20,4,0,10,29691,5235,Ê[2 1 3 1 3 2 1 0 2 0 2 0 3 0 1 0 1 2 0 1 3]
20,4,1,10,23325,5200,Ê[1 2 1 2 3 1 2 1 2 3 1 2 0 3 1 2 0 3 2 0 1]
20,4,2,10,2380,547,Ê[1 2 0 1 2 1 3 0 2 3 2 1 3 0 2]
20,4,3,10,13361,2838,Ê[0 2 0 1 2 1 2 0 2 1 2 0 1 3 0 2 1 0 3 2]
20,4,4,10,8817,1981,Ê[1 0 1 3 2 0 2 0 2 0 2 1 2 0 2 1 0 3 1 2]
20,5,0,10,ÊDNF,Ê--,Ê--
20,5,1,10,ÊDNF,Ê--,Ê--
20,5,2,10,ÊDNF,Ê--,Ê--
20,5,3,10,ÊDNF,Ê--,Ê--
20,5,4,10,167479,114591,Ê[4 1 4 0 2 3 0 4 2 1 3 2 0 4 1 3 4 0 2]
20,6,0,10,ÊDNF,Ê--,Ê--
20,6,1,10,ÊDNF,Ê--,Ê--
20,6,2,10,ÊDNF,Ê--,Ê--
20,6,3,10,ÊDNF,Ê--,Ê--
20,6,4,10,ÊDNF,Ê--,Ê--
25,4,0,10,13153,5860,Ê[2 3 2 1 2 0 2 0 3 2 0 2 3 1 3 2 1 3 0 2 1]
25,4,1,10,75434,29800,Ê[2 1 2 1 0 1 2 1 0 3 2 0 1 2 0 1 3 1 3 2 3 0 1]
25,4,2,10,293078,132881,Ê[1 2 0 1 0 3 0 3 1 2 0 2 0 2 3 1 2 0 1 3 2 1 0 3]
25,4,3,10,696239,242845,Ê[3 0 1 3 1 0 2 3 2 1 0 3 1 2 3 2 3 1 2 0 3 1 3 0 2]
25,4,4,10,97676,34952,Ê[0 2 3 2 1 2 3 1 3 0 1 3 0 2 3 0 3 2 1 0 2 1 3]
25,5,0,10,ÊDNF,Ê--,Ê--
25,5,1,10,ÊDNF,Ê--,Ê--
25,5,2,10,ÊDNF,Ê--,Ê--
25,5,3,10,ÊDNF,Ê--,Ê--
25,5,4,10,ÊDNF,Ê--,Ê--
25,6,0,10,ÊDNF,Ê--,Ê--
25,6,1,10,ÊDNF,Ê--,Ê--
25,6,2,10,ÊDNF,Ê--,Ê--
25,6,3,10,ÊDNF,Ê--,Ê--
25,6,4,10,ÊDNF,Ê--,Ê--